doc_title,para_num,term_str,n
ASHPUTTEL,2,your,2
ASHPUTTEL,3,a,2
ASHPUTTEL,3,all,3
ASHPUTTEL,3,and,7
ASHPUTTEL,3,are,1
ASHPUTTEL,3,as,1
ASHPUTTEL,3,ashheap,1
ASHPUTTEL,3,ashputtel,2
ASHPUTTEL,3,asked,1
ASHPUTTEL,3,at,4
ASHPUTTEL,3,ball,2
ASHPUTTEL,3,begged,1
ASHPUTTEL,3,begging,1
ASHPUTTEL,3,bride,1
ASHPUTTEL,3,brush,1
ASHPUTTEL,3,but,1
ASHPUTTEL,3,called,1
ASHPUTTEL,3,came,1
ASHPUTTEL,3,can,1
ASHPUTTEL,3,choose,1
ASHPUTTEL,3,clothes,1
ASHPUTTEL,3,comb,1
ASHPUTTEL,3,come,1
ASHPUTTEL,3,could,1
ASHPUTTEL,3,crying,1
ASHPUTTEL,3,dance,2
ASHPUTTEL,3,days,1
ASHPUTTEL,3,did,1
ASHPUTTEL,3,dishful,1
ASHPUTTEL,3,done,1
ASHPUTTEL,3,even,1
ASHPUTTEL,3,feast,3
ASHPUTTEL,3,for,4
ASHPUTTEL,3,get,1
ASHPUTTEL,3,go,3
ASHPUTTEL,3,going,1
ASHPUTTEL,3,gone,1
ASHPUTTEL,3,hair,1
ASHPUTTEL,3,happened,1
ASHPUTTEL,3,hard,1
ASHPUTTEL,3,have,4
ASHPUTTEL,3,held,1
ASHPUTTEL,3,help,1
ASHPUTTEL,3,her,4
ASHPUTTEL,3,herself,1
ASHPUTTEL,3,himself,1
ASHPUTTEL,3,his,1
ASHPUTTEL,3,hours,1
ASHPUTTEL,3,i,1
ASHPUTTEL,3,if,1
ASHPUTTEL,3,in,1
ASHPUTTEL,3,into,1
ASHPUTTEL,3,it,2
ASHPUTTEL,3,kept,1
ASHPUTTEL,3,king,2
ASHPUTTEL,3,land,1
ASHPUTTEL,3,last,3
ASHPUTTEL,3,let,1
ASHPUTTEL,3,liked,1
ASHPUTTEL,3,mother,1
ASHPUTTEL,3,no,1
ASHPUTTEL,3,not,2
ASHPUTTEL,3,nothing,1
ASHPUTTEL,3,now,2
ASHPUTTEL,3,of,4
ASHPUTTEL,3,on,1
ASHPUTTEL,3,our,3
ASHPUTTEL,3,out,2
ASHPUTTEL,3,peas,1
ASHPUTTEL,3,picked,1
ASHPUTTEL,3,rid,1
ASHPUTTEL,3,s,2
ASHPUTTEL,3,said,3
ASHPUTTEL,3,sashes,1
ASHPUTTEL,3,shall,1
ASHPUTTEL,3,she,9
ASHPUTTEL,3,shoes,1
ASHPUTTEL,3,should,1
ASHPUTTEL,3,sisters,1
ASHPUTTEL,3,so,2
ASHPUTTEL,3,son,1
ASHPUTTEL,3,that,2
ASHPUTTEL,3,the,6
ASHPUTTEL,3,them,2
ASHPUTTEL,3,then,1
ASHPUTTEL,3,they,1
ASHPUTTEL,3,this,1
ASHPUTTEL,3,those,1
ASHPUTTEL,3,thought,1
ASHPUTTEL,3,three,1
ASHPUTTEL,3,throw,1
ASHPUTTEL,3,tie,1
