term_str,n,p,i,n_chars,max_pos_group,max_pos,porter_stem,stop,df,idf,tfidf_mean,dfidf,dp,di,dh,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
away,291,0.0028798764918947,8.439777343949958,4,RB,RB,away,0,60,0.0473057147783568,0.0001331553966804,2.838342886701409,0.967741935483871,0.0473057147783565,0.0457797239790546,,,,,,,,,,,
do,285,0.0028204975951546,8.469834577806138,2,VB,VB,do,1,59,0.071553261025034,0.0002075250126036,4.22164240047701,0.9516129032258064,0.0715532610250337,0.0680910064593063,,,,,,,,,,,
again,282,0.0027908081467846,8.485101334459447,5,RB,RB,again,1,52,0.253756592245783,0.0006083975301917,13.195342796780716,0.8387096774193549,0.253756592245783,0.2128281096254954,,,,,,,,,,,
go,278,0.0027512222156245,8.505711614134734,2,VB,VB,go,0,52,0.253756592245783,0.0006112057095098,13.195342796780716,0.8387096774193549,0.253756592245783,0.2128281096254954,,,,,,,,,,,
would,265,0.0026225679393543,8.57480413740768,5,MD,MD,would,0,58,0.0962153152593029,0.0002468322434482,5.580488285039572,0.935483870967742,0.0962153152593032,0.0900078755651546,,,,,,,,,,,
could,260,0.0025730855254042,8.602284873829786,5,MD,MD,could,0,54,0.1993088082234066,0.000505276259402,10.76267564406396,0.8709677419354839,0.1993088082234066,0.1735915426461929,,,,,,,,,,,
took,247,0.002444431249134,8.676285455273563,4,VB,VBD,took,0,55,0.1728365968622155,0.0003991178587614,9.506012827421854,0.8870967741935484,0.1728365968622155,0.1533227875390621,,,,,,,,,,,
their,237,0.0023454664212338,8.735909437959982,5,PR,PRP$,their,1,50,0.3103401206121505,0.0006929041176919,15.517006030607524,0.8064516129032258,0.3103401206121505,0.2502742908162503,,,,,,,,,,,
your,234,0.0023157769728638,8.754287967274838,4,PR,PRP$,your,1,51,0.2817709684153795,0.0006630888832979,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
very,229,0.0022662945589137,8.785448898761297,4,RB,RB,veri,1,53,0.226275855823676,0.000492878966879,11.992620358654827,0.8548387096774194,0.226275855823676,0.1934293606234649,,,,,,,,,,,
man,226,0.0022366051105437,8.804473724443053,3,NN,NN,man,0,42,0.561878887608115,0.0011294646335599,23.59891327954083,0.6774193548387096,0.561878887608115,0.3806276335409811,,,,,,,,,,,
now,224,0.0022168121449636,8.817297764800637,3,RB,RB,now,1,55,0.1728365968622155,0.0003757193218018,9.506012827421854,0.8870967741935484,0.1728365968622155,0.1533227875390621,,,,,,,,,,,
are,220,0.0021772262138036,8.843292973333583,3,VB,VBP,are,1,55,0.1728365968622155,0.0004313424402339,9.506012827421854,0.8870967741935484,0.1728365968622155,0.1533227875390621,,,,,,,,,,,
did,211,0.0020881578686934,8.903553498151057,3,VB,VBD,did,1,54,0.1993088082234066,0.0004556838500041,10.76267564406396,0.8709677419354839,0.1993088082234066,0.1735915426461929,,,,,,,,,,,
good,206,0.0020386754547433,8.938152159675022,4,JJ,JJ,good,0,51,0.2817709684153795,0.0007015363303771,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
can,205,0.0020287789719533,8.945172587352795,3,MD,MD,can,1,52,0.253756592245783,0.00048852093245,13.195342796780716,0.8387096774193549,0.253756592245783,0.2128281096254954,,,,,,,,,,,
old,201,0.0019891930407933,8.973600995679313,3,JJ,JJ,old,0,44,0.494764691749578,0.0012505140931473,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
we,200,0.0019792965580032,8.980796497083517,2,PR,PRP,we,1,44,0.494764691749578,0.0009691215200823,21.769646436981432,0.7096774193548387,0.4947646917495778,0.3511233296287326,,,,,,,,,,,
time,200,0.0019792965580032,8.980796497083517,4,NN,NN,time,0,56,0.1468413883292711,0.0002933605013605,8.223117746439186,0.9032258064516128,0.1468413883292711,0.1326309313941804,,,,,,,,,,,
upon,198,0.0019595035924232,8.995296066778632,4,IN,IN,upon,0,46,0.4306343543298623,0.0008914260454921,19.809180299173665,0.7419354838709677,0.4306343543298623,0.3195029080511881,,,,,,,,,,,
from,197,0.0019496071096332,9.002600867401865,4,IN,IN,from,1,53,0.226275855823676,0.0004462425449132,11.992620358654827,0.8548387096774194,0.226275855823676,0.1934293606234649,,,,,,,,,,,
off,196,0.0019397106268432,9.009942842743031,3,RP,RP,off,1,51,0.2817709684153795,0.0005211939142894,14.370319389184356,0.8225806451612904,0.2817709684153795,0.2317793449868444,,,,,,,,,,,
which,189,0.0018704352473131,9.062410262637169,5,WD,WDT,which,1,50,0.3103401206121505,0.0005429365952854,15.517006030607524,0.8064516129032258,0.3103401206121505,0.2502742908162503,,,,,,,,,,,
