doc_title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
THE THREE LANGUAGES,0.01689545934530095,0.01795142555438226,0.008447729672650475,0.021119324181626188,0.01795142555438226,0.014783526927138331,0.01689545934530095,0.02006335797254488,-0.0010559662090813093
THE TRAVELLING MUSICIANS,0.015373352855051245,0.017569546120058566,0.013177159590043924,0.020497803806734993,0.0212298682284041,0.016105417276720352,0.01171303074670571,0.021961932650073207,0.0014641288433382138
THE TURNIP,0.01384083044982699,0.028546712802768166,0.010380622837370242,0.009515570934256055,0.03373702422145329,0.009515570934256055,0.025086505190311418,0.04498269896193772,0.03460207612456748
THE TWELVE DANCING PRINCESSES,0.018656716417910446,0.00808457711442786,0.005597014925373134,0.009328358208955223,0.016791044776119403,0.023009950248756218,0.008706467661691543,0.012437810945273632,0.014925373134328358
THE TWELVE HUNTSMEN,0.009337068160597572,0.017740429505135387,0.004668534080298786,0.021475256769374416,0.026143790849673203,0.011204481792717087,0.007469654528478058,0.022408963585434174,0.021475256769374416
THE VALIANT LITTLE TAILOR,0.019994031632348554,0.019098776484631454,0.01342882721575649,0.012235153685467026,0.024171888988361683,0.010743061772605193,0.016413011041480154,0.025962399283795883,0.00925096985974336
THE WATER OF LIFE,0.009866102889358703,0.01656095842142354,0.009513742071881607,0.01726568005637773,0.025017618040873855,0.01233262861169838,0.007751937984496124,0.023960535588442564,0.010923185341789992
THE WEDDING OF MRS. FOX - PART I,0.007334963325183374,0.007334963325183374,0.0024449877750611247,0.0024449877750611247,0.012224938875305624,0.004889975550122249,0.007334963325183374,0.004889975550122249,0.004889975550122249
THE WEDDING OF MRS. FOX - PART II,0.010638297872340425,0.023936170212765957,0.007978723404255319,0.010638297872340425,0.023936170212765957,0.007978723404255319,0.02127659574468085,0.026595744680851064,0.013297872340425532
THE WHITE SNAKE,0.016119032858028518,0.022938623682579044,0.007439553626782393,0.01425914445133292,0.034097954122752634,0.013639181649101054,0.018598884066955982,0.02417854928704278,0.011779293242405457
THE WILLOW-WREN AND THE BEAR,0.03598691384950927,0.014176663031624863,0.017448200654307525,0.04362050163576881,0.017448200654307525,0.015267175572519083,0.010905125408942203,0.014176663031624863,-0.017448200654307525
THE WOLF AND THE SEVEN LITTLE KIDS,0.009074410163339383,0.021778584392014518,0.004537205081669692,0.009074410163339383,0.029945553539019964,0.024500907441016333,0.0054446460980036296,0.02631578947368421,0.0018148820326678765
TOM THUMB,0.006690279417552145,0.011806375442739079,0.0059031877213695395,0.010625737898465172,0.020070838252656435,0.009838646202282565,0.010625737898465172,0.01770956316410862,0.006296733569460842
