line_num,line_str,doc_id
361,"carry: to be sure it is silver, but it is so heavy that I can’t hold up",2
362,"my head, and you must know it hurts my shoulder sadly.’ ‘What do you say",2
363,"of making an exchange?’ said the horseman. ‘I will give you my horse,",2
364,and you shall give me the silver; which will save you a great deal of,2
365,trouble in carrying such a heavy load about with you.’ ‘With all my,2
366,"heart,’ said Hans: ‘but as you are so kind to me, I must tell you one",2
367,thing--you will have a weary task to draw that silver about with you.’,2
368,"However, the horseman got off, took the silver, helped Hans up, gave him",2
369,"the bridle into one hand and the whip into the other, and said, ‘When",2
370,"you want to go very fast, smack your lips loudly together, and cry",2
371,“Jip!”’,2
372,,2
373,"Hans was delighted as he sat on the horse, drew himself up, squared his",2
374,"elbows, turned out his toes, cracked his whip, and rode merrily off, one",2
375,"minute whistling a merry tune, and another singing,",2
376,,2
377,"‘No care and no sorrow,",2
378,A fig for the morrow!,2
379,"We’ll laugh and be merry,",2
380,Sing neigh down derry!’,2
381,,2
382,"After a time he thought he should like to go a little faster, so he",2
383,smacked his lips and cried ‘Jip!’ Away went the horse full gallop; and,2
384,"before Hans knew what he was about, he was thrown off, and lay on his",2
385,"back by the road-side. His horse would have ran off, if a shepherd who",2
386,"was coming by, driving a cow, had not stopped it. Hans soon came to",2
387,"himself, and got upon his legs again, sadly vexed, and said to the",2
388,"shepherd, ‘This riding is no joke, when a man has the luck to get upon",2
389,a beast like this that stumbles and flings him off as if it would break,2
390,"his neck. However, I’m off now once for all: I like your cow now a great",2
391,"deal better than this smart beast that played me this trick, and has",2
392,"spoiled my best coat, you see, in this puddle; which, by the by, smells",2
393,not very like a nosegay. One can walk along at one’s leisure behind that,2
394,"cow--keep good company, and have milk, butter, and cheese, every day,",2
395,"into the bargain. What would I give to have such a prize!’ ‘Well,’ said",2
396,"the shepherd, ‘if you are so fond of her, I will change my cow for your",2
397,"horse; I like to do good to my neighbours, even though I lose by it",2
398,"myself.’ ‘Done!’ said Hans, merrily. ‘What a noble heart that good man",2
399,"has!’ thought he. Then the shepherd jumped upon the horse, wished Hans",2
400,"and the cow good morning, and away he rode.",2
401,,2
402,"Hans brushed his coat, wiped his face and hands, rested a while, and",2
403,"then drove off his cow quietly, and thought his bargain a very lucky",2
404,one. ‘If I have only a piece of bread (and I certainly shall always be,2
405,"able to get that), I can, whenever I like, eat my butter and cheese with",2
406,it; and when I am thirsty I can milk my cow and drink the milk: and what,2
407,"can I wish for more?’ When he came to an inn, he halted, ate up all his",2
408,"bread, and gave away his last penny for a glass of beer. When he had",2
409,"rested himself he set off again, driving his cow towards his mother’s",2
410,"village. But the heat grew greater as soon as noon came on, till at",2
411,"last, as he found himself on a wide heath that would take him more than",2
412,"an hour to cross, he began to be so hot and parched that his tongue",2
413,"clave to the roof of his mouth. ‘I can find a cure for this,’ thought",2
414,he; ‘now I will milk my cow and quench my thirst’: so he tied her to the,2
415,"stump of a tree, and held his leathern cap to milk into; but not a drop",2
416,"was to be had. Who would have thought that this cow, which was to bring",2
417,"him milk and butter and cheese, was all that time utterly dry? Hans had",2
418,not thought of looking to that.,2
419,,2
420,"While he was trying his luck in milking, and managing the matter very",2
421,"clumsily, the uneasy beast began to think him very troublesome; and at",2
422,last gave him such a kick on the head as knocked him down; and there he,2
423,"lay a long while senseless. Luckily a butcher soon came by, driving a",2
424,"pig in a wheelbarrow. ‘What is the matter with you, my man?’ said the",2
425,"butcher, as he helped him up. Hans told him what had happened, how he",2
426,"was dry, and wanted to milk his cow, but found the cow was dry too. Then",2
427,"the butcher gave him a flask of ale, saying, ‘There, drink and refresh",2
428,yourself; your cow will give you no milk: don’t you see she is an old,2
429,"beast, good for nothing but the slaughter-house?’ ‘Alas, alas!’ said",2
430,"Hans, ‘who would have thought it? What a shame to take my horse, and",2
431,"give me only a dry cow! If I kill her, what will she be good for? I hate",2
432,cow-beef; it is not tender enough for me. If it were a pig now--like,2
433,that fat gentleman you are driving along at his ease--one could do,2
434,"something with it; it would at any rate make sausages.’ ‘Well,’ said",2
435,"the butcher, ‘I don’t like to say no, when one is asked to do a kind,",2
436,"neighbourly thing. To please you I will change, and give you my fine fat",2
437,pig for the cow.’ ‘Heaven reward you for your kindness and self-denial!’,2
438,"said Hans, as he gave the butcher the cow; and taking the pig off the",2
439,"wheel-barrow, drove it away, holding it by the string that was tied to",2
440,its leg.,2
441,,2
442,"So on he jogged, and all seemed now to go right with him: he had met",2
443,"with some misfortunes, to be sure; but he was now well repaid for all.",2
444,How could it be otherwise with such a travelling companion as he had at,2
445,last got?,2
446,,2
447,The next man he met was a countryman carrying a fine white goose. The,2
448,countryman stopped to ask what was o’clock; this led to further chat;,2
449,"and Hans told him all his luck, how he had so many good bargains, and",2
450,how all the world went gay and smiling with him. The countryman then,2
451,"began to tell his tale, and said he was going to take the goose to a",2
452,"christening. ‘Feel,’ said he, ‘how heavy it is, and yet it is only eight",2
453,"weeks old. Whoever roasts and eats it will find plenty of fat upon it,",2
454,"it has lived so well!’ ‘You’re right,’ said Hans, as he weighed it in",2
455,"his hand; ‘but if you talk of fat, my pig is no trifle.’ Meantime the",2
456,"countryman began to look grave, and shook his head. ‘Hark ye!’ said he,",2
457,"‘my worthy friend, you seem a good sort of fellow, so I can’t help doing",2
458,you a kind turn. Your pig may get you into a scrape. In the village I,2
