term_str,PC0,PC1,PC2,PC3,PC4
think,-0.0017506408827560904,0.0017385108503935852,-0.0003496600697127787,0.0015976563327534078,-0.002542504066945983
husband,-0.005371126728848653,-0.002761402233930542,-0.003597544411646894,-0.004775217266959468,-0.012772275700118067
drink,-0.005330240780213039,0.002390587483822028,-0.0031543954060716797,0.002114534698891561,0.0010271820214477212
sun,-0.007817520425498303,-0.0035586077937211436,0.0029794807715625,0.0019890016292821327,0.0023227061256235228
thus,-0.006447806595604901,-0.00489785919331157,0.0014481385073275633,0.0014188263450471718,-0.0014606454500317337
our,-0.0013017034797916578,0.0014479890372691047,0.002073214984124508,0.003021525206329638,-0.002084454686124941
right,-0.004148167500191757,-0.0005120888735985797,-0.002827670823567734,0.0021635984680547274,0.0009802339345300148
help,-0.004191051460149752,-0.0010749498092578781,0.00251675707401062,-0.0018442074394469197,0.0004870817705196884
garden,-0.007722963809589318,-0.007254654324684504,0.0033521071821760533,-0.007179472696985991,-0.007375238986412737
seen,-0.004259790693685825,-0.002278899609959544,0.0016850571008113287,0.0016674633603906647,-4.0157409759172646e-05
anything,-0.003661981067931728,0.0027823088011260104,-0.0019468315277919618,-0.0029509176569767876,0.0016324017809607255
sent,-0.003992344322768404,-0.0026500360064673333,0.005217480444099037,-0.0024966402331480487,0.0004971587747851439
given,-0.003323979337889912,-0.002563376585396383,0.001207651054574163,0.0007912439668759871,-0.0008487604462249112
keep,-0.0035170656638906415,-0.0002996289473682243,-0.0016326009796754038,-0.004453692159799227,-2.8764372135702822e-05
replied,0.0019991559590973595,-0.0011730416284744844,-0.0014681475791306108,-0.007390457547620864,-0.001284031619496509
rest,-0.002981640023303846,-0.0012626993981400267,-0.001241236687248588,0.002641925025608204,0.0015830099412938608
turned,0.00023841156669890344,-0.0023872138859159643,-0.004908543275425066,0.0039007165026362024,0.0050114512659074914
sprang,0.0005310793262334131,0.0037061936277299028,0.0023848968610072265,-0.0007269580204305384,-0.0018603947066572004
threw,-0.002876727267168456,4.550964866735069e-05,0.0006242735282604863,-0.004332497879077535,-0.0009487413203931336
everything,-0.0022471528138140536,0.0011650043838357148,0.0008738637164079796,-0.00019427352125629384,-0.0013916681398270657
bread,-0.0032418906436937943,0.005119312630820865,-0.0008609456616196781,-0.0016825917427727068,0.0049909790122082244
bear,0.012890334805651556,0.013268422992730473,0.036451388806425754,0.004676758820445833,0.03381025470163927
brother,-0.008961383395468443,-0.00843761176683682,-0.006384657733241874,0.0208957919587528,0.015778097454764863
second,-0.0027788984998555364,0.0005668112688291728,-0.0030696074515309387,0.0037196439011526485,0.005010116665883717
carried,-0.0022561214052536182,-0.0007339164790596398,0.0021888407284843744,-0.0015123106033565746,-0.00019655556399525475
face,-0.004241817177136,-0.003637782677750028,0.00451899845483147,-0.0031074054653134225,-0.0042868866102978844
wine,-0.006718190471705569,0.008157505347243407,-0.010139957285129265,-0.0018824740168492547,0.00032171395210211416
people,-0.0008467381995614288,-0.001356196574453068,6.544438841964337e-06,0.00015545657796631857,0.0014841107063696026
wish,-0.006617392155148568,-0.0026423643866280303,0.003425743911469041,0.001116200386062767,-0.0031612579921506956
years,-0.005153537847906456,-0.006117787867569308,0.0004966845715932208,0.003229963329004035,-0.0001649014221810004
red,0.0025096145326760806,0.0004153451344189492,0.0032312650075882686,0.001218130180864197,0.0017122890697297518
themselves,-0.0028873593622611997,-0.000818618000392601,-0.0009574995217810836,0.002519757864927026,0.005658086582054104
twelve,-0.015513599595581587,-0.025050734863812214,0.013736032844914564,0.0015947419113154413,-0.0017259291529692843
same,-0.004655738148375208,-0.003603972833691806,0.0007425114194928939,0.0036779424033190422,-0.0009435703217743099
these,-0.0022318423663659766,-0.00031019807734459213,-0.0019729397063122187,-0.00522675399026983,-0.0001776270844385668
table,-0.0036127805308873735,0.005231203499482387,-0.009921182250438589,-0.003368686914558765,0.003951449320511922
became,-0.0011325482732763195,-0.0005047053062872203,-0.002410936586622806,0.0017594662276701916,0.0003614152667534571
led,-0.004776625271218871,0.0008411752201956141,0.0014419487208062872,-0.0030959090193634626,7.913727992832633e-06
carry,-0.0013135962769044228,0.0010831793194875901,-0.0012183994248615758,0.0011801373132733371,-0.0005743542544189785
place,-0.003502321903547407,0.0013406360453417942,-0.0018731043190771334,-0.001933334592802452,-0.0025018980386290403
always,-0.001635464775754384,0.0013439304557294235,-0.00012736720986357005,0.001540822034703261,-0.002729203028375202
sleep,-0.0005461118657870054,0.002165011854203977,0.0008424085655025734,3.7574025858430126e-05,-0.0014409207811974818
dog,0.006934762756502368,0.008182379414513092,-0.02063001513117824,0.0021906511344035274,-0.019741342848335865
also,-0.00332234545144402,0.0009890942199462082,-0.0016213925180445469,-0.002781846759361144,0.0009708410353589459
standing,-0.003408761136014135,-0.0015500666857159644,0.0015229275625054403,-0.0028260502589143636,-0.0024621346320031928
huntsman,-0.012602549572511439,-0.00568593390892364,0.003780158711245554,-0.006753876606936746,0.007322721432957611
true,-0.004122758290768967,-0.003405418202404323,0.002353970859143929,0.006247846928625391,-0.005986428395082275
kingdom,-0.010254954196447893,-0.01458023650836151,0.0059905186892945305,0.004514422513293065,0.0020662500055557316
light,-0.00375053793911867,0.00018206289248070043,-0.003204858801412974,-0.0004953989905162535,-0.0011052348104653722
end,-0.005290448583132991,-0.0021655313866606493,0.001996764954650164,-0.0004020781034707458,0.0014503354664090447
piece,-0.005603981951204993,0.00460436795450602,-0.0007414078941224477,0.005848566031254722,0.012634421771624247
ate,0.0003491356755107215,0.00259339073984236,-0.0011192118274155232,-0.0027144207073863907,-0.0001701536961199286
live,-0.0030693469529397715,0.0007594464033784503,-1.7068438302875907e-05,0.005806264494704472,-0.004286581227629594
met,0.004829366571549488,-0.007366923712133419,-0.004545590866098333,0.005461497581329411,0.00369070816498359
near,-0.0057370145251561255,-0.0005296951636160998,-0.00021029864784948335,-0.001475611253537744,0.000925653555392287
try,-0.004644405401872965,-0.0020267695831460565,-0.0011707558627638657,0.003976171345754598,0.00013164754186434198
