doc_title,PC0,PC1,PC2,PC3,PC4
THE TRAVELLING MUSICIANS,0.17425279461114734,0.09581949147029896,-0.239437005400478,-0.030990245624410724,-0.1658921473445196
THE TURNIP,-0.08961855437524555,-0.057111163245495825,-0.14128564728351617,0.2767589324987947,-0.05201436448620076
THE TWELVE DANCING PRINCESSES,-0.19565746098664538,-0.22382899848799404,0.0969194212562576,0.1324481079583354,0.012179574777380636
THE TWELVE HUNTSMEN,-0.19961563768980545,-0.2711621569295968,0.2360022860550241,-0.19239282791456608,-0.14676616066641876
THE VALIANT LITTLE TAILOR,-0.16949185317685989,0.009681732084068204,0.07086144982725487,-0.1640903270377549,0.023331183069123396
THE WATER OF LIFE,-0.23688502068090178,-0.2948135869653293,0.04765248934988775,0.298860824890761,0.1274367708913664
THE WEDDING OF MRS. FOX - PART I,0.8100043765648438,-0.32267200438780497,0.033035369118352365,-0.08824163540299033,0.08234267580556251
THE WEDDING OF MRS. FOX - PART II,0.8114300915740831,-0.11069823287744275,0.15772318118746442,-0.012236132170928657,-0.018325402429459837
THE WHITE SNAKE,-0.14234443587040801,-0.12272307094770141,0.04685412131096916,-0.0668104113563794,-0.08413751170883711
THE WILLOW-WREN AND THE BEAR,0.2866727960663246,0.1166042668658647,0.44845863004161957,0.029617845981935356,0.2181509451727982
THE WOLF AND THE SEVEN LITTLE KIDS,0.1553839997914673,0.5320201442784802,0.46343328277199874,0.20829338358861516,-0.03688575867119458
TOM THUMB,0.030407159414112817,0.3126000551476806,0.12906082968423777,0.26613203539579816,-0.2614390795455871
