doc_title,chunk_id,T0,T1,T2,T3,T4
DOCTOR KNOWALL,1,0.009265910259179215,0.009215575710285234,0.009192466398922329,0.00926654930039167,0.9630594983312215
DOCTOR KNOWALL,2,0.01087164721363503,0.01083686814622654,0.010559412111361301,0.010885671781711024,0.9568464007470661
DOCTOR KNOWALL,3,0.011928293980940438,0.011872551946532396,0.011828190019218886,0.011896381904629178,0.9524745821486791
DOCTOR KNOWALL,4,0.0095831301438035,0.009615122469284051,0.009626451699729761,0.00958684262207766,0.9615884530651051
DOCTOR KNOWALL,5,0.23671443059086003,0.00923722635743168,0.009598315391449126,0.009197938738695746,0.7352520889215635
FREDERICK AND CATHERINE,0,0.9525334884605343,0.011908898080034779,0.011781005299243521,0.011890012974499688,0.011886595185687694
FREDERICK AND CATHERINE,1,0.7035421684134939,0.009267038048406515,0.009199919703118882,0.2688380225936465,0.009152851241334149
FREDERICK AND CATHERINE,2,0.9629254320817077,0.009130990275739886,0.009285377141319275,0.009441181640590093,0.009217018860643212
FREDERICK AND CATHERINE,3,0.9569476870454546,0.010753974451010308,0.010597592030314079,0.011039337884696588,0.010661408588524211
FREDERICK AND CATHERINE,4,0.9573871698458702,0.010670783388798068,0.010598208192707926,0.010709953538663077,0.010633885033960812
FREDERICK AND CATHERINE,5,0.14383775566156753,0.507555198986427,0.013548106813336486,0.32149804563429196,0.01356089290437711
FREDERICK AND CATHERINE,6,0.5865155942468996,0.314680188623545,0.07812017991406488,0.010447549109558038,0.010236488105932466
FREDERICK AND CATHERINE,7,0.8288185873392528,0.010215483806881401,0.01011004422432863,0.010137975672826439,0.14071790895671066
FREDERICK AND CATHERINE,8,0.9525575956151213,0.011820717094472648,0.011859874788663459,0.011877531745042146,0.01188428075670045
FREDERICK AND CATHERINE,9,0.8767187984974683,0.01115845422338058,0.011177856170955945,0.011293321570619514,0.0896515695375757
FREDERICK AND CATHERINE,10,0.963341490348949,0.00914219777200885,0.00915419457891738,0.009195431038975898,0.009166686261149042
FREDERICK AND CATHERINE,11,0.9570923742485934,0.010668342936191288,0.010731075907403076,0.010902996941941362,0.010605209965870813
FREDERICK AND CATHERINE,12,0.7093303930475022,0.011234952806346028,0.011428374385823703,0.01137713313916691,0.25662914662116104
FREDERICK AND CATHERINE,13,0.8644949054009422,0.01267363646723117,0.0128374273418755,0.012727823707582579,0.09726620708236866
FREDERICK AND CATHERINE,14,0.7824284426693269,0.02048966074089479,0.02014893756125674,0.02018138056376512,0.15675157846475662
FUNDEVOGEL,0,0.011296715693040065,0.38719324086389373,0.5790677404199964,0.011314877890480747,0.011127425132589052
FUNDEVOGEL,1,0.20335257225399012,0.014508085400781849,0.48309633130315066,0.014491569119977774,0.2845514419220997
FUNDEVOGEL,2,0.5754087912380322,0.013708569645666597,0.38363198199852233,0.013544645473494987,0.013706011644283771
FUNDEVOGEL,3,0.012789376034794117,0.012581886998274238,0.9493198294989612,0.012630105519955826,0.012678801948014759
FUNDEVOGEL,4,0.015643318817258476,0.015495869267717555,0.9377279617585584,0.015624776224599315,0.015508073931866337
FUNDEVOGEL,5,0.013490548410642914,0.013405157474490649,0.9460991509704197,0.01357519613575132,0.013429947008695264
FUNDEVOGEL,6,0.41753968255919566,0.01062939922144055,0.5503502351925514,0.010785820851675466,0.010694862175136837
HANS IN LUCK,0,0.010642941780241073,0.010832065794913425,0.01061597853273633,0.9571703350091838,0.01073867888292541
HANS IN LUCK,1,0.12905689661656822,0.008964283470943909,0.008796664710248042,0.8442188470371055,0.008963308165134338
HANS IN LUCK,2,0.012009796199824403,0.012086420379550412,0.012091142666194741,0.6837791565913769,0.28003348416305357
HANS IN LUCK,3,0.01346957935540889,0.013541427093984091,0.1845241658237455,0.5342340886454798,0.2542307390813816
HANS IN LUCK,4,0.011963152012973016,0.012293949729857475,0.012015871414011031,0.9516226861662662,0.012104340676892355
HANS IN LUCK,5,0.19423574187884413,0.008234927343226625,0.008307614902581955,0.5703544829926644,0.21886723288268264
HANS IN LUCK,6,0.4799845177055271,0.009678207172241713,0.1429482761475335,0.3577289709585481,0.00966002801614957
